Absent-Minded Professor's March (Medfield Fight Song)  ,the Disney Fakebook,12
A-E-I-O-U (The Caterpillar Song) ,the Disney Fakebook,11
The Age of Not Believing ,the Disney Fakebook,10
Alice in Wonderland ,the Disney Fakebook,11
Annette ,the Disney Fakebook,12
Arabian Nights ,the Disney Fakebook,13
The Aristocats  ,the Disney Fakebook,14
Baby Mine ,the Disney Fakebook,18
The Ballad of Davy Crockett ,the Disney Fakebook,19
The Bare Necessities  ,the Disney Fakebook,15
Be Our Guest ,the Disney Fakebook,16
The Beautiful Briny Sea ,the Disney Fakebook,24
Beauty and the Beast ,the Disney Fakebook,21
Bella Notte (This Is the Night)  ,the Disney Fakebook,19
Belle ,the Disney Fakebook,20
Best of Friends ,the Disney Fakebook,22
Bibbidi-Bobbidi-Boo (The Magic Song) ,the Disney Fakebook,23
Biddle-Dee-Dee ,the Disney Fakebook,24
Bluddle Uddle Urn Dum (The Washing Song) ,the Disney Fakebook,25
Blue Oak Tree ,the Disney Fakebook,23
Blue Shadows on the Trail ,the Disney Fakebook,27
Brazzle Dazzle Day ,the Disney Fakebook,28
Can You Feel the Love Tonight ,the Disney Fakebook,26
Candle on the Water ,the Disney Fakebook,29
Carrying the Banner ,the Disney Fakebook,30
Casey Junior ,the Disney Fakebook,28
Castle in Spain  ,the Disney Fakebook,34
Chim Chim Cher-ee ,the Disney Fakebook,35
Chip 'N Dale's Rescue Rangers Theme Song  ,the Disney Fakebook,36
Cinderella  ,the Disney Fakebook,40
Circle of Life  ,the Disney Fakebook,36
Colonel Hathi's March (The Elephant Song)  ,the Disney Fakebook,41
Colors of the Wind ,the Disney Fakebook,38
A Cowboy Needs a Horse ,the Disney Fakebook,42
Cruella De Vil ,the Disney Fakebook,40
The Daisy Anthem ,the Disney Fakebook,43
Dalmatian Plantation ,the Disney Fakebook,42
Don't Jump to Conclusions  ,the Disney Fakebook,44
A Dream Is a Wish Your Heart Makes ,the Disney Fakebook,46
DuckTales Theme ,the Disney Fakebook,45
The Dwarfs' Yodel Song (Silly Song) ,the Disney Fakebook,46
The Elegant Captain Hook ,the Disney Fakebook,47
Enjoy It  ,the Disney Fakebook,50
Ey'rybody Has a Laughing Place ,the Disney Fakebook,50
Ev'rybody Wants to Be a Cat ,the Disney Fakebook,48
Fathoms Below ,the Disney Fakebook,49
Feed the Birds ,the Disney Fakebook,52
The Flubber Song ,the Disney Fakebook,52
"Follow Me, Boys! ",the Disney Fakebook,53
Following the Leader ,the Disney Fakebook,56
For Now for Always ,the Disney Fakebook,51
Fortuosity ,the Disney Fakebook,56
Friend Like Me ,the Disney Fakebook,54
Fun and Fancy Free ,the Disney Fakebook,58
Fun with Music ,the Disney Fakebook,59
Gaston ,the Disney Fakebook,60
Give a Little Whistle ,the Disney Fakebook,57
Go the Distance  ,the Disney Fakebook,62
God Help the Outcasts ,the Disney Fakebook,64
Goodbye So Soon ,the Disney Fakebook,59
Hakuna Matata ,the Disney Fakebook,66
The Happiest Home in These Hills ,the Disney Fakebook,68
"Happy, Happy Birthday to You ",the Disney Fakebook,70
He Lives in You ,the Disney Fakebook,72
He's a Tramp ,the Disney Fakebook,71
Heffalumps and Woozles ,the Disney Fakebook,74
Heigh-Ho  ,the Disney Fakebook,73
Herbie ,the Disney Fakebook,65
Ili-Diddle-Dee-Dee (An Actor's Life for Me)  ,the Disney Fakebook,91
Higitus Figitus ,the Disney Fakebook,76
Home ,the Disney Fakebook,78
Honest John ,the Disney Fakebook,77
Honor to Us All ,the Disney Fakebook,80
How D'ye Do and Shake Hands ,the Disney Fakebook,82
How Do You Do? ,the Disney Fakebook,83
How Will I Know My Love? ,the Disney Fakebook,84
I Bring You a Song ,the Disney Fakebook,84
I Just Can't Wait to Be King ,the Disney Fakebook,86
I Wanna Be Like You (The Monkey Song)  ,the Disney Fakebook,88
I Will Go Sailing No More   ,the Disney Fakebook,92
I Won't Say (I'm in Love) ,the Disney Fakebook,94
I Wonder ,the Disney Fakebook,87
I'll Make a Man Out of You ,the Disney Fakebook,90
I'm Late ,the Disney Fakebook,79
I'm No Fool ,the Disney Fakebook,85
I'm Wishing ,the Disney Fakebook,89
I've Got No Strings  ,the Disney Fakebook,89
If I Can't Love Her ,the Disney Fakebook,98
"If I Never Knew You (Love Theme from ""Pocahontas"")  ",the Disney Fakebook,96
In Harmony ,the Disney Fakebook,101
It's a Small World ,the Disney Fakebook,99
It's Not Easy ,the Disney Fakebook,100
Jiminy Cricket ,the Disney Fakebook,102
Johnny Tremain ,the Disney Fakebook,104
Jolly Holiday ,the Disney Fakebook,104
King of New York ,the Disney Fakebook,106
Kiss the Girl ,the Disney Fakebook,103
La La Lu ,the Disney Fakebook,109
Lavender Blue (Dilly Dilly)  ,the Disney Fakebook,105
Les Poissons ,the Disney Fakebook,108
Let Me Be Good to You ,the Disney Fakebook,93
Let's Get Together  ,the Disney Fakebook,111
Let's Go Fly a Kite ,the Disney Fakebook,107
Let's Put It Over with Grover ,the Disney Fakebook,110
Liberty Tree ,the Disney Fakebook,112
Little April Shower ,the Disney Fakebook,95
Little Black Rain Cloud ,the Disney Fakebook,112
Little Wooden Head ,the Disney Fakebook,137
Live Like a King ,the Disney Fakebook,114
The Lord Is Good to Me ,the Disney Fakebook,114
Love ,the Disney Fakebook,113
Love Is a Song ,the Disney Fakebook,115
Love Will Find a Way ,the Disney Fakebook,75
May the Best Man Win ,the Disney Fakebook,118
Me ,the Disney Fakebook,116
Meetin' At the Malt Shop ,the Disney Fakebook,117
The Merry Mouseketeers ,the Disney Fakebook,161
Mickey Mouse March ,the Disney Fakebook,148
Minnie's Yoo Hoo ,the Disney Fakebook,121
The Monkey's Uncle ,the Disney Fakebook,120
The Morning Report ,the Disney Fakebook,122
A Most Befuddling Thing ,the Disney Fakebook,126
My Name Is James ,the Disney Fakebook,119
My Own Home (Jungle Book Theme) ,the Disney Fakebook,125
Never Smile At a Crocodile ,the Disney Fakebook,128
No Matter What ,the Disney Fakebook,124
"Oh, What a Merry Christmas Day ",the Disney Fakebook,128
Old Yeller ,the Disney Fakebook,127
On the Front Porch ,the Disney Fakebook,129
Once Upon a Dream ,the Disney Fakebook,134
Once Upon a Time in New York City ,the Disney Fakebook,130
"The One and Only, Genuine, Original Family Band ",the Disney Fakebook,134
One Jump Ahead ,the Disney Fakebook,132
One of Us ,the Disney Fakebook,136
00-De-Lally ,the Disney Fakebook,131
The Parent Trap ,the Disney Fakebook,135
Part of Your World ,the Disney Fakebook,138
Perfect Isn't Easy ,the Disney Fakebook,140
Pink Elephants on Parade ,the Disney Fakebook,146
A Pirate's Life ,the Disney Fakebook,139
Pollyanna's Song ,the Disney Fakebook,141
Poor Unfortunate Souls ,the Disney Fakebook,142
The Pretty Irish Girl ,the Disney Fakebook,143
Prince Ali ,the Disney Fakebook,144
Pussycat Polka ,the Disney Fakebook,146
The Rain Rain Rain Caine Down Down Down ,the Disney Fakebook,148
Rainbow Maker ,the Disney Fakebook,150
Reflection ,the Disney Fakebook,149
The Reluctant Dragon ,the Disney Fakebook,150
Remember When ,the Disney Fakebook,151
R-E-S-C-U-E Rescue Aid Society ,the Disney Fakebook,154
Riddle De Diddle De Day ,the Disney Fakebook,154
Roses and Rainbows ,the Disney Fakebook,152
Humbly in My Tumbly ,the Disney Fakebook,152
Saludos Amigos ,the Disney Fakebook,153
Santa Fe ,the Disney Fakebook,156
Scales and Arpeggios ,the Disney Fakebook,162
The Second Star to the Right ,the Disney Fakebook,159
Seize the Day ,the Disney Fakebook,155
Shadowland ,the Disney Fakebook,160
Shaggy Dog ,the Disney Fakebook,158
Shrimp Boats ,the Disney Fakebook,164
The Siamese Cat Song ,the Disney Fakebook,159
Simple Simon ,the Disney Fakebook,163
Sing a Smiling Song ,the Disney Fakebook,162
Small One ,the Disney Fakebook,164
So Dear to My Heart ,the Disney Fakebook,165
So This Is Love (The Cinderella Waltz) ,the Disney Fakebook,170
Someday ,the Disney Fakebook,166
Someday My Prince Will Come ,the Disney Fakebook,167
Someone's Waiting for You ,the Disney Fakebook,168
Something More ,the Disney Fakebook,168
Something There ,the Disney Fakebook,170
Son of Man ,the Disney Fakebook,172
Sooner or Later  ,the Disney Fakebook,169
A Spoonful of Sugar ,the Disney Fakebook,167
A Star Is Born ,the Disney Fakebook,174
Stay Awake ,the Disney Fakebook,180
A Step in the Right Direction ,the Disney Fakebook,171
Step in Time ,the Disney Fakebook,176
"Stop, Look and Listen  ",the Disney Fakebook,176
Strange Things ,the Disney Fakebook,178
Strangers Like Me ,the Disney Fakebook,180
Streets of Gold ,the Disney Fakebook,182
Strengthen the Dwelling ,the Disney Fakebook,195
Suh-Sti-Thtiary Locomotion  ,the Disney Fakebook,177
Summer Magic ,the Disney Fakebook,184
Supercalifragilisticexpialidocious ,the Disney Fakebook,183
Sweet Surrender ,the Disney Fakebook,186
The Swisskapolka ,the Disney Fakebook,184
Tale Spin Theme (Spin It!) ,the Disney Fakebook,188
Talent Roundup ,the Disney Fakebook,185
Ten Feet Off the Ground ,the Disney Fakebook,187
That Darn Cat!  ,the Disney Fakebook,187
That's What Friends Are For (The Vulture Song) ,the Disney Fakebook,193
That's What Makes the World Go 'Round ,the Disney Fakebook,190
There Are Those ,the Disney Fakebook,189
These Are the Best Times ,the Disney Fakebook,190
Three Cheers for Anything ,the Disney Fakebook,192
The Tiki Tiki Tiki Room ,the Disney Fakebook,191
The Time of Your Life ,the Disney Fakebook,194
Today is Tuesday ,the Disney Fakebook,197
Toyland March ,the Disney Fakebook,198
Trashin' the Camp ,the Disney Fakebook,200
True to Your Heart ,the Disney Fakebook,202
Trust in Me (The Python's Song)  ,the Disney Fakebook,196
Turn on the Old Music Box ,the Disney Fakebook,196
Twas BriIlig ,the Disney Fakebook,198
Two Worlds ,the Disney Fakebook,204
The Ugly-Bug Ball ,the Disney Fakebook,199
The Unbirthday Song ,the Disney Fakebook,208
Under the Sea ,the Disney Fakebook,206
"Up, Down and Touch the Ground",the Disney Fakebook,209
The Virginia Company,the Disney Fakebook,208
West 0' the Wide Missouri,the Disney Fakebook,210
"Westward Ho, the Wagons' ",the Disney Fakebook,212
A Whale of a Tale ,the Disney Fakebook,211
When a Man Has a Daughter,the Disney Fakebook,201
When I See an Elephant Fly,the Disney Fakebook,213
When She Loved Me,the Disney Fakebook,205
When You Wish Upon a Star,the Disney Fakebook,212
Whistle While You Work,the Disney Fakebook,173
Who's Afraid of the Big Bad Wolf?,the Disney Fakebook,214
A Whole New World,the Disney Fakebook,216
Why Should I Worry?,the Disney Fakebook,218
Winnie the Pooh,the Disney Fakebook,219
With a Smile and a Song,the Disney Fakebook,222
The Wonderful Thing About Tiggers,the Disney Fakebook,223
Woody's Roundup,the Disney Fakebook,215
The Work Song,the Disney Fakebook,224
The World Will Know,the Disney Fakebook,220
The World's Greatest Criminal Mind,the Disney Fakebook,224
Wringle Wrangle (A Pretty Woman's Love),the Disney Fakebook,226
Yo Ho (A Pirate's Life for Me) ,the Disney Fakebook,226
You (Are a Human Animal) ,the Disney Fakebook,223
You Can Fly! You Can Fly! You Can Fly!,the Disney Fakebook,227
You'll Be in My Heart,the Disney Fakebook,228
You've Got a Friend in Me,the Disney Fakebook,236
Your Heart Will Lead You Home,the Disney Fakebook,230
Your Mother and Mine,the Disney Fakebook,232
Zero to Hero,the Disney Fakebook,234
Zip-A-Dee-Doo-Dah,the Disney Fakebook,232
Theme from Zorro,the Disney Fakebook,233